step,elapsed_seconds,sensor_id,congestion
4,1200,1202230,0.0
4,1200,1202248,0.0
4,1200,1202263,0.0
4,1200,1202278,0.0
4,1200,1202290,0.0
4,1200,1202308,0.0
4,1200,1202322,0.0
4,1200,1202337,0.0
4,1200,1202353,0.0
4,1200,1202365,0.0
4,1200,1202373,0.0
4,1200,1202380,0.0
4,1200,1202394,0.0
4,1200,1202408,0.0
4,1200,1202422,0.0
4,1200,1202436,0.0
4,1200,1202451,0.0
4,1200,1202464,0.0
4,1200,1202475,0.0
4,1200,1202522,0.0
4,1200,1202527,0.0
4,1200,1202537,0.0
4,1200,1202549,0.0
4,1200,1202564,0.0
4,1200,1202574,0.0
4,1200,1202590,0.0
4,1200,1202595,0.0
4,1200,1202599,0.0
4,1200,1202610,0.0
4,1200,1202614,0.0
4,1200,1202627,0.0
4,1200,1202631,0.0
4,1200,1202648,0.0
4,1200,1202663,0.0
4,1200,1202676,0.0
4,1200,1202691,0.0
4,1200,1202701,0.0
4,1200,1202705,0.0
